"Seq.
No.";Lot;Coil Number;Mother Coil;Grade;Finish;Thickness;Width;Material Processed;PRIME (SLT);KW2;BabyCoil;Scrap;SS;Weighing Balance;Coil Individual Yield;;"TOTAL
PRIME";"TOTAL
PRIME";"TOTAL
PRIME";"TOTAL
PRIME";"TOTAL
PRIME";"TOTAL
PRIME";"TOTAL
PRIME";"TOTAL
PRIME";"TOTAL
PRIME";"TOTAL
PRIME";"TOTAL
PRIME";;;;;
1;422;LTI-GI306501A+B+C+D;LTI-GI306501;304L;2B;0,80;767;9.950;9.890;0;60;0;0;0;;#REF!;#REF!; 60.000,0 ; -   ;#REF!; -   ; -   ;#REF!;#REF!; 60.000.000,0 ; -   ;#REF!; -   ; -   ;#REF!; TI-TS303881 ; OK 
2;422;LTI-GI306396A+B+C;LTI-GI306396;304L;2B;0,95;768;7.900;7.605;290;0;0;0;5;96,3%;#REF!;;;;;;;;;;;;0;;;BC000001;
4;421;TI-GI306141C+D;TI-GI306141;304;2B;0,80;770;10.440;10.270;0;40;0;0;130;;#REF!;;;;;;;;;;;;0;;;BC000001;
5;422;TI-GI306468A+B+C+D;TI-GI306468;304;2B;0,95;770;10.255;10.120;0;105;0;0;30;;#REF!;;;;;;;;;;;;0;;;LTI-TS301687;
6;422;LTI-GI306395A+B;LTI-GI306395;304L;2B;0,95;766;6.835;6.620;0;40;0;215;-40;;#REF!;;;;;;;;;;;;0;;;;
10;422;LTI-TS304228A10.1-2;LTI-TS304228;304L;2B;0,80;59;927;740;0;0;0;185;2;;#REF!;;;;;;;;;;;;0;;;;
11;422;TI-TS304132B10.1-2;TI-TS304132;304;2B;0,78;59;791;615;0;0;0;120;56;;#REF!;;;;;;;;;;;;;;;;
14;422;TI-TS303895B2.10.1-2;TI-TS303895;304;2B;0,80;59;595;465;0;0;0;130;0;;#REF!;;;;;;;;;;;;0;;;;
16;422;LTI-TS304166A1.10.1-2;LTI-TS304166;304L;2B;0,78;59;315;240;0;0;0;75;0;;;;;;;;;;;;;;;;;;
17;422;VD301073A7;VD301073;304;2B;1,35;75;956;835;0;0;0;0;121;;;;;;;;;;;;;;;;;;
19;422;VD300969A7;VD300969;304;2B;1,35;75;486;350;0;0;0;135;1;;;;;;;;;;;;;;;;;;
20;422;VD301022B7;VD301022;304;2B;1,35;75;950;670;0;0;0;280;0;;;;;;;;;;;;;;;;;;
21;422;VD301020A7;VD301020;304;2B;1,35;75;490;335;0;0;0;155;0;;;;;;;;;;;;;;;;;;
23;422;TI-TS303786A7;TI-TS303786;304;2B;1,50;76;725;535;0;0;0;0;190;;;;;;;;;;;;;;;;;;
24;422;TI-TS303839A7;TI-TS303839;304;2B;1,50;76;735;545;0;0;0;0;190;;;;;;;;;;;;;;;;;;
25;422;LTI-TS303907A7;LTI-TS303907;304L;2B;1,50;76;600;445;0;0;0;0;155;;;;;;;;;;;;;;;;;;
26;422;VD301048A7;VD301048;304;2B;1,35;83;490;450;0;0;0;40;0;;;;;;;;;;;;;;;;;;
27;422;VD300962B7;VD300962;304;2B;1,35;75;508;350;0;0;0;150;8;;;;;;;;;;;;;;;;;;
28;422;XG203404A2.1-2;XG203404;J1;2B;0,50;107;910;810;0;0;0;0;100;;;;;;;;;;;;;;;;;;
29;422;TI-GI304658B5;TI-GI304658;304/304L;2B;1,17;95;720;665;0;0;0;55;0;;;;;;;;;;;;;;;;;;
31;422;LTI-GI306360A+B;LTI-GI306360;304L;2B;1,50;769;12.170;11.940;0;75;0;0;155;;;;;;;;;;;;;;;;;;
32;422;LTI-GI306497A+B;LTI-GI306497;304L;2B;1,50;768;12.015;11.855;0;0;40;120;0;;;;;;;;;;;;;;;;;;
33;422;TI-GI306388A1-7+B1-7;TI-GI306388;304;2B;0,95;768;10.470;10.235;0;40;5;190;0;;;;;;;;;;;;;;;;;;
34;400;EM204703A1-5+B1-5;EM204703;J3;2B;1,10;560;9.005;8.745;0;0;60;200;0;;;;;;;;;;;;;;;;;;
35;406;EM204724A1-4+B1-4;EM204724;J3;2B;1,10;640;10.210;10.035;0;0;30;145;0;;;;;;;;;;;;;;;;;;
36;381;EM204304A1-4+B1-4;EM204304;J3;2B;1,40;595;7.385;7.225;0;0;35;125;0;;;;;;;;;;;;;;;;;;
37;422;TI-GI306407A1-7+B1-7;TI-GI306407;304;2B;1,40;777;10.615;10.435;0;0;0;0;180;;;;;;;;;;;;;;;;;;
38;424;LTI-GI306633A2;LTI-GI306633;304L;2B;1,45;770;10.270;9.700;445;70;8;0;47;;;;;;;;;;;;;;;;;;
39;422;LTI-GI306524A1-5+B1-5;LTI-GI306524;304L;2B;0,95;768;10.135;10.070;0;45;0;0;20;;;;;;;;;;;;;;;;;;
40;421;LTI-GI306279A+B;LTI-GI306279;304L;2B;1,50;770;12.125;11.755;0;0;0;180;190;;;;;;;;;;;;;;;;;;
41;422;LTI-GI306556A+B;LTI-GI306556;304L;2B;1,22;776;10.290;10.015;0;60;0;120;95;;;;;;;;;;;;;;;;;;
42;422;LTI-GI306539A+B;LTI-GI306539;304L;2B;1,22;774;11.910;11.610;0;95;0;95;110;;;;;;;;;;;;;;;;;;
43;389;GU204461A1-5+B1-5;GU204461;J3;2B;0,92;595;8.220;8.050;0;0;50;120;0;;;;;;;;;;;;;;;;;;
44;395;HK204580A1-5+B1-5;HK204580;J3;2B;0,73;600;9.615;9.475;0;55;0;85;0;;;;;;;;;;;;;;;;;;
45;397;HK204647A1-5+B1-5;HK204647;J3;2B;0,73;595;8.195;7.935;0;0;50;210;0;;;;;;;;;;;;;;;;;;
46;389;GU204464A1-5+B1-5;GU204464;J3;2B;0,73;595;8.225;7.965;0;35;0;76;149;;;;;;;;;;;;;;;;;;
47;422;LTI-GI306443A+B;LTI-GI306443;304L;2B;1,50;773;10.515;10.300;0;0;0;83;132;;;;;;;;;;;;;;;;;;
48;422;LTI-GI306544A+B;LTI-GI306544;304L;2B;1,50;776;10.515;10.250;0;0;60;200;5;;;;;;;;;;;;;;;;;;
49;422;LTI-GI306475A+B;LTI-GI306475;304L;2B;1,50;773;11.985;11.700;0;0;50;230;5;;;;;;;;;;;;;;;;;;
50;422;LTI-GI306566A+B;LTI-GI306566;304L;2B;1,50;777;12.040;11.720;0;65;10;290;-45;;;;;;;;;;;;;;;;;;
51;422;LTI-GI306560A+B;LTI-GI306560;304L;2B;1,50;773;10.385;10.015;0;180;0;190;0;;;;;;;;;;;;;;;;;;
52;422;LTI-GI306565A+B;LTI-GI306565;304L;2B;1,50;776;10.245;9.885;0;150;0;210;0;;;;;;;;;;;;;;;;;;
53;422;LTI-GI306505B+C;LTI-GI306505;304L;2B;1,50;767;12.090;11.385;435;110;0;0;160;;;;;;;;;;;;;;;;;;
54;424;LTI-GI306586A;LTI-GI306586;304L;2B;1,50;774;5.280;5.185;0;0;5;90;0;;;;;;;;;;;;;;;;;;
55;386;HK204371A1-4+B1-4;HK204371;J3;2B;1,12;595;8.185;7.895;0;0;30;245;15;;;;;;;;;;;;;;;;;;
56;389;GU204439A1-5+B1-5;GU204439;J3;2B;0,92;595;8.220;7.930;0;0;35;255;0;;;;;;;;;;;;;;;;;;
57;389;GU204490A1-5+B1-5;GU204490;J3;2B;0,92;595;8.145;7.810;0;45;0;175;115;;;;;;;;;;;;;;;;;;
58;389;GU204456A1-5+B1-5;GU204456;J3;2B;0,92;595;8.185;8.015;0;50;0;0;120;;;;;;;;;;;;;;;;;;
60;386;HK204400B1-5;HK204400;J3;2B;0,95;595;8.140;7.940;0;40;0;120;40;;;;;;;;;;;;;;;;;;
61;421;LTI-GI306094A;LTI-GI306094;304L;2B;0,74;770;7.235;7.135;0;0;0;0;100;;;;;;;;;;;;;;;;;;
62;421;LTI-GI306077A+B;LTI-GI306077;304L;2B;0,74;770;12.185;11.980;0;65;0;0;140;;;;;;;;;;;;;;;;;;
63;386;HK204388B1-5+C1-5;HK204388;J3;2B;0,95;595;8.190;7.575;0;310;0;290;15;;;;;;;;;;;;;;;;;;
64;386;HK204374A1-5+B1-5;HK204374;J3;2B;0,95;595;8.030;7.850;0;50;0;130;0;;;;;;;;;;;;;;;;;;
65;386;HK204340A1-5+B1-5;HK204340;J3;2B;0,95;595;8.200;8.050;0;0;30;120;0;;;;;;;;;;;;;;;;;;
