userName,score,at,content
MH CHANNEL,5,2022-12-11 03:24:45,"Utamakan jaringan supaya tidak lelet, banyakin paket promo murah"
Rasyid Ardhiansyah,1,2022-12-11 03:23:23,Ga puas
Abyackta,1,2022-12-11 02:17:04,"Kecepatan internetnya parah banget, susah buat beli paket data. Tiap beli paket data di myxl selalu muncul tulisan ""terjadi gangguan di myxl"", ini ngerepotin banget kalo bener bener lagi butuh. Tolong diperbaiki dong"
Jono Sujono,1,2022-12-10 16:12:45,"Semenjak update -Loading terlalu lama, -pencarian paket kuota yg biasa di beli sekarang tidak ada, -sering ada gangguan -jaringan terkadang jelek terkadang bagus TOLONG PERHATIKAN!!"
Asrul DYC,1,2022-12-10 14:28:23,"Bkin emosi,,, Hapus maya..gk guna dia.. Sudah kalo masuk apk nya susah.. Layanan cs ny jg sgt buruk.. Apk penyedia layanan terburuk yg pernah saya gunakan... Jaringan ny jgn di tanya..kalo lagi kumat beuhh susahny minta ampun.. Segera perbaiki!!ok!! Jgn cuma harga paketan terus yg di urusin..costumer jg harus d urusin.. Ok..saya sdkit lega..terima kasih"
Mustakim,1,2022-12-10 14:28:16,"Aplikasi berat, baru uda isi paket lewat Transferan & berhasil, tp paketannya blum masuk2 jdi bingung harus gmana..... Tolong di perbaiki."
Nenco Alvindo,1,2022-12-10 14:26:47,"Saya sudah berlangganan dengan XL sudah 4 tahun lebih ingin memberi ulasan, dan selama 4 tahun tersebut saya baru kali ini memberikan komentar, kenapa setiap Saya mau isi kuota selalu ada masalah, gangguan dll sangat menanggu sekali mohon untuk di perbaiki"
Isma Mardyah,1,2022-12-10 14:21:39,"Setiap pembelian kuota selalu sulit, dan pemrosesan nya juga lama, operator maya juga gak jelas, gak bisa bantu sama sekali"
heri fadli,2,2022-12-10 14:21:05,Kalau untuk layanan alhamdulillah ya terbantu. Tapi aplikasinya kalau ngga di update ga bisa di pakai. Jadi saya beri 2 star aja ya gimna mau ngasih 5 star. Suka erorr ni apk. Tolong donk developernya di perbaikin tadinya dah senang menggunakan appstore myxl. Akhir-akhir ini malah sering terjadi kesalahan
Toni Adi,1,2022-12-10 14:19:00,Baru di update udah gangguan gabisa isi voucher. Apk sedang di perbaiki baru update udah error. Maunya gimana?
Daryoto Ap,1,2022-12-10 14:18:51,Vesi barunya gk jelas sering ganguan kaya aplikasi sampah ni sekarang..tolong dong di perbaiki ..klo kaya gini mah mending ganti operator lain lh yg lebih baik..bay xl
Abdul Hafid,1,2022-12-10 14:13:56,"My xl sekarang terlalu banyak bug,paket tiba² hangus padahal baru di isi, sinyal gak stabil, apalagi apk nya eror selalu"
Misnah,1,2022-12-10 14:13:38,Udah beli pulsa. Tapi ga bisa Arifin paket internet nya. Terpaksa bingung nyari WiFi dari HP lain. Kecewa seali dengan layanan seperti ini.
Rossinani,2,2022-12-10 14:12:13,"Aplikasi tidak bisa login Padahal jaringan oke sama habis unistal aplikasi terus instal lagi masih belum bisa. Udah berkali"" Login tetep ga bisa dan saat update selalu nomernya keluar sendiri"
Syayidatul Rachmawati,1,2022-12-10 14:11:56,Baru aja diupgrade. Sekarang minta diupgrade. Awas aja kalau pelayanannya masih tetap seperti kemarin-kemarin! Keknya makin ke sini pelayanan gak memuaskan. Signal ilang apalagi musim hujan. Hadeh. Seharusnya perbaikan dulu kualitasnya. Kita tunggu itikad baiknya.
Yohan Adi,1,2022-12-10 14:11:26,Aplikasi sering trouble. Udah beli pulsa sampe double tapi tetap ga bsa beli paket internet. Dicoba pake cara apapun terus trouble. Ntar giliran ga di beliin paket. Pulsanya kesedot jadi ga bisa beli paket internet. Perbaiki donk layanannya. Rugi lah customer klo kyk gni.
Andre,2,2022-12-10 14:10:42,"Apk nya bagus cuman pas buka lama banget masuk trus tiba tiba keluar, mau liat kuotanya di myxl tapi GK bisa malah bilang gagal memuat data sering banget seperti ini, jaringan nya buruk pas ujan, kadang 3-4 gituh trus GK. Tolong di tingkatkan lagi biar nyaman pas menggunakan internet nya."
Dewa Ayu,5,2022-12-10 14:08:15,"aplikasi myxl ini sangat bagus dan efisien, tolong untuk ditingkatkan kualitasnya lagi dalam hal promo besar2an kuota extra combo plus."
Rida Juariah,2,2022-12-10 14:03:09,"saya pelanggan xl pascabayar, tinggal di cipatat, aplikasi ini makin kesini makin jelek, sinyalnya juga makin payah, , sepertinya saya harus berhenti berlangganan dan beralih ke provider lain 🙈"
anggun wijaya,1,2022-12-10 13:59:06,XL udah makan nggak niat punya saya lemot banget kayak keyong padahal kuota masih banyak dan lagi sekarang kalo habis jangka waktu nggak nyampai sebulan makin ngawur dah padahal waktu korona gini yang yang nggak ada penurunan pelanggan kan cuma telekomunikasi dan malah penggunanya makin meningkat tapi pelayanannya makin ngacok aja makin parah nih
Vany Rochmah,1,2022-12-10 13:48:08,Sebenarnya sudah lama pakai XL dan baik-baik saja. Tetapi saat urgent begini beli paket data di my XL lama sekali masuknya. Tulisannya terjadi gangguan seperti itu terus dan lama. Padahal di transaksi sudah berhasil pembayarannya. Hanya saja belum masuk paket datanya. Kecewa sekali 😥
Raihan Mohammad,1,2022-12-10 13:46:35,Aplikasi sering bug. Buka Aplikasi saja lama banget. Penawaran paket internet sudah kayak flash sale sebentar ada sebentar ilang. Paket internet suka ilang sendiri dan harus menunggu beberapa jam baru pulih kembali. Untuk kualitas sinyal sekarang sudah mulai stabil. Chat di customers service MAYA gak ada respon
Melisa Febrianti,1,2022-12-10 13:43:23,"Gak jadi bintang 5 lah,, masa sy beli paket gak masuk² paket nya... pdhal saldo sy sudah terpotong... Sy udah pakai wifi pun juga tetap gak masuk paket nya... disuruh update sudah di update tetap juga gak masuk paket nya.. bahkan mau cek paket aja gak bisa malah kembali ke dashboard.. ganti rugi lah saldo sy itu..."
Vitriani Belitung,1,2022-12-10 13:42:34,Aplikasi kok eror pas cek paket pulsa dan masalah di umb juga gak bisa mungkin eror pake kartu ini mohon di perbaiki aplikasi dan lainnya sebab mun tidak di tangani mungkin pada pindah operator lain saya sudah pake 6 tahunan pake ini walaupun kartu saya di blokir masih bisa di aktifkan lagi ini masih eror aplikasi dan kartu ini banyak sekali masalah perbaiki segera
Elin Restiana,1,2022-12-10 13:34:39,"Baru juga di update tgl 7 des, tgl 10 des udah minta di update lagi, udah gitu bukannya setelah di update jadi tambah sat set malah makin lemot, mau ngecek paketan aja susahnya minta ampun, selalu gagal memuat padahal jaringan 4G+, tolonglah diperbaiki sistemnya supaya pengguna tidak kecewa, terimaksih."
Ardie Ansyah,3,2022-12-10 13:32:09,"Banyak update an tapi performa apk my xl makin turun,kadang lemot kadang susah masuk,mana ahir ahir ini sering gangguan,untuk my xl tolong ditingkatin lagi apknya dong !!!!"
Restu Ayu Pamukti,1,2022-12-10 13:31:58,"Ini mohon bgt dikoreksi/perbaiki. Sering bgt ada pemberitahuan update,sinyal sering eror, apk nya jga ngga bisa di refresh. Dan saya pernah beli kuota pake pulsa, malah ngga masuk. Tapi pulsanya yang ilang. Jadi kan rugi. Mohon di perbaiki lagi kedepannya untuk semuanya"
Riska Amelia,2,2022-12-10 13:28:02,aplikasinya lemot sering pembaruan tapi tidak ada perubahan. ayodong jangan sering pembaruan langsung optimalkan saja. tapi smngtt developer 🙂🖤
Taufiqur Rahman,1,2022-12-10 13:25:02,"Aplikasi berat kalau dibuka, padahal sudah instal ulang, jaringan lemot, padahal masih di ibu kota Jakarta."
Dwi ArifKu,1,2022-12-10 13:21:21,"Aplikasi sampah tdk bisa dipakai. Tergiur omongan marketing, ternyata XL home & data seluler sama bobroknya, sinyal paling parah"
Kardi,1,2022-12-10 13:08:22,"Selalu gagal login, mau beli paket aja gabisa login, aplikasi ngebug, kalo dibilang koneksiku jelek, buktinya aku bisa ngereview aplikasi jelek ini"
MUHAMAD FADILLAH,1,2022-12-10 13:05:07,"Apaan dah beli paket aj lama , notifikasi masuk pulsa juga telat . Udah sinyalnya lemot lagi . Udah paling bener di sebelah"
Septian Hendrico,3,2022-12-10 13:01:05,"ampas, saya make XL sudah 7tahun gapernah sama sekali ganti kartu lain tapi pengalaman 7thn make XL,gapernah puas jaringan lemot,pdhal bar sinyal 3/4 apalagi kalau gerimis atau hujan,sama sekali gabisa internet nya mohon utk di perbaiki lagi jaringan nya."
