id,lokasi_akses,jumlah_pengguna,satuan,tahun
1,BANDUNG,46360,USER,2022
2,JAKARTA,34906,USER,2022
3,KOTA BEKASI,9993,USER,2022
4,SURABAYA,5175,USER,2022
5,DEPOK,3653,USER,2022
6,PALEMBANG,3449,USER,2022
7,MAKASSAR,2954,USER,2022
8,BEKASI,2607,USER,2022
9,TASIKMALAYA,2236,USER,2022
10,PEKANBARU,1776,USER,2022
11,CIREBON,1613,USER,2022
12,BOGOR,1611,USER,2022
13,SEMARANG,1510,USER,2022
14,TANGERANG SELATAN,1051,USER,2022
15,MEDAN,988,USER,2022
16,TANGERANG,922,USER,2022
17,CIANJUR,918,USER,2022
18,DENPASAR,429,USER,2022
19,CANGKUANG,414,USER,2022
20,CIKAMPEK,393,USER,2022
21,MALANG,365,USER,2022
22,SINGAPORE,331,USER,2022
23,SUKABUMI,325,USER,2022
24,CITEUREUP,296,USER,2022
25,CLARKSVILLE,293,USER,2022
26,CILEUNYI,264,USER,2022
27,PEKALONGAN,234,USER,2022
28,NGAMPRAH,229,USER,2022
29,KUTA,227,USER,2022
30,PADALARANG,213,USER,2022
31,BOWLING GREEN,212,USER,2022
32,KATAPANG,201,USER,2022
33,CIMENYAN,193,USER,2022
34,BATAM,189,USER,2022
35,SAMARINDA,174,USER,2022
36,CISARUA,171,USER,2022
37,LEMBANG,169,USER,2022
38,TELUKJAMBE,162,USER,2022
39,CIBINONG,161,USER,2022
40,BALEENDAH,158,USER,2022
41,BANDAR LAMPUNG,156,USER,2022
42,CIMAHI,154,USER,2022
43,JAMBI,151,USER,2022
44,PONTIANAK,151,USER,2022
45,YOGYAKARTA,142,USER,2022
46,MANADO,139,USER,2022
47,BALIKPAPAN,137,USER,2022
48,BREBES,137,USER,2022
49,RANCAEKEK,136,USER,2022
50,CILEUNGSI,134,USER,2022
51,KARANGTENGAH,134,USER,2022
52,CIGUGUR,127,USER,2022
53,SURAKARTA,120,USER,2022
54,SUBANG,117,USER,2022
55,KUDUS,116,USER,2022
56,KLATEN,115,USER,2022
57,MARGAASIH,114,USER,2022
58,HAGERSTOWN,109,USER,2022
59,PALANGKARAYA,105,USER,2022
60,PALU,105,USER,2022
61,MEGAMENDUNG,103,USER,2022
62,KARAWANG BARAT,102,USER,2022
63,KUNINGAN,99,USER,2022
64,TAROGONG KALER,93,USER,2022
65,CIGOMBONG,89,USER,2022
66,PURWOKERTO,89,USER,2022
67,SOREANG,89,USER,2022
68,JEMBER,87,USER,2022
69,SUMEDANG,87,USER,2022
70,CIKANDE,84,USER,2022
71,INDRAMAYU,82,USER,2022
72,JATIBARANG,81,USER,2022
73,GUNUNG PUTRI,78,USER,2022
74,BANDA ACEH,77,USER,2022
75,BALONGAN,75,USER,2022
76,PADANG,73,USER,2022
77,BANJARAN,70,USER,2022
78,BANJARMASIN,69,USER,2022
79,GARUT,68,USER,2022
80,SUMBER,65,USER,2022
81,MATARAM,61,USER,2022
82,SALINA,60,USER,2022
83,KEDIRI,59,USER,2022
84,BATUJAJAR,58,USER,2022
85,CIAMIS,58,USER,2022
86,KUTA UTARA,58,USER,2022
87,MAJALENGKA,56,USER,2022
88,LOHBENER,54,USER,2022
89,BOJONGSOANG,53,USER,2022
90,MAJALAYA,53,USER,2022
91,CIPARAY,50,USER,2022
92,SORONG,50,USER,2022
93,KUPANG,49,USER,2022
94,PASIRJAMBU,49,USER,2022
95,CILEGON,46,USER,2022
96,KUTA SELATAN,46,USER,2022
97,KEDAWUNG,44,USER,2022
98,JAYAPURA,42,USER,2022
99,CIHAMPELAS,39,USER,2022
100,PEMATANGSIANTAR,39,USER,2022
101,KUALA LUMPUR,38,USER,2022
102,PAMEUNGPEUK,38,USER,2022
103,BENGKULU,37,USER,2022
104,TULUNGAGUNG,37,USER,2022
105,SIDOARJO,36,USER,2022
106,PARIS,35,USER,2022
107,ASHBURN,34,USER,2022
108,CICALENGKA,34,USER,2022
109,MIAMI,33,USER,2022
110,JAWILAN,32,USER,2022
111,KARANGPAWITAN,32,USER,2022
112,SUKALUYU,32,USER,2022
113,TELUK AMBON,31,USER,2022
114,SAN JOSE,30,USER,2022
115,TIMIKA,30,USER,2022
116,PURWAKARTA,29,USER,2022
117,COFFEYVILLE,28,USER,2022
118,OSAKA,28,USER,2022
119,RENGASDENGKLOK,28,USER,2022
120,SALATIGA,28,USER,2022
121,SUKARAJA,28,USER,2022
122,NGORO,27,USER,2022
123,GODEAN,26,USER,2022
124,BANJARBARU,25,USER,2022
125,CIOMAS,25,USER,2022
126,DRAMAGA,25,USER,2022
127,KEBASEN,25,USER,2022
128,NEW YORK,25,USER,2022
129,TUBAN,25,USER,2022
130,BULELENG,24,USER,2022
131,GORONTALO,24,USER,2022
132,SERANG,24,USER,2022
133,GUNUNGJATI,23,USER,2022
134,LONDON,23,USER,2022
135,MADIUN,23,USER,2022
136,TAJUR HALANG,22,USER,2022
137,WATES,22,USER,2022
138,BOJONG GEDE,21,USER,2022
139,DALLAS,21,USER,2022
140,LOS ANGELES,21,USER,2022
141,TERNATE,21,USER,2022
142,YOKOHAMA,21,USER,2022
143,BATANG,20,USER,2022
144,LEMAHABANG,20,USER,2022
145,PONOROGO,20,USER,2022
146,UNGARAN,20,USER,2022
147,CHENNAI,19,USER,2022
148,CIPATAT,19,USER,2022
149,KASIHAN,19,USER,2022
150,PASURUAN,19,USER,2022
151,CHIYODA CITY,18,USER,2022
152,KENDARI,18,USER,2022
153,LUMAJANG,18,USER,2022
154,TARAKAN,18,USER,2022
155,TRENGGALEK,18,USER,2022
156,BANJAR,17,USER,2022
157,CARINGIN,17,USER,2022
158,JEDDAH,17,USER,2022
159,SINTANG,17,USER,2022
160,UBUD,17,USER,2022
161,BANGUNTAPAN,16,USER,2022
162,BUKITTINGGI,16,USER,2022
163,CILACAP,16,USER,2022
164,GROGOL,16,USER,2022
165,KARANGMALANG,16,USER,2022
166,PATI,16,USER,2022
167,PEMALANG,16,USER,2022
168,PLERED,16,USER,2022
